module,source_file,line,source_unit,trigger_hint,kind,target_expression,normalized_target,target_screen,notes
arena,flutter_app/lib/features/arena/presentation/pages/arena_prediction_bridge_foundation_page_part_01.dart,102,arena_prediction_bridge_foundation_page.dart,,context.go,AppRoutePaths.arena,/arena,ArenaHomePage (/arena),
arena,flutter_app/lib/features/arena/presentation/pages/arena_prediction_bridge_foundation_page_part_01.dart,99,arena_prediction_bridge_foundation_page.dart,,context.pop,,,,back_or_close_modal
arena,flutter_app/lib/features/arena/presentation/pages/arena_production_ready_page_part_01.dart,80,arena_production_ready_page.dart,,context.go,_resolvedRoute(route),,,dynamic_route_expression
arena,flutter_app/lib/features/arena/presentation/pages/arena_production_ready_page_part_01.dart,89,arena_production_ready_page.dart,,context.go,AppRoutePaths.arena,/arena,ArenaHomePage (/arena),
arena,flutter_app/lib/features/arena/presentation/pages/arena_production_ready_page_part_01.dart,86,arena_production_ready_page.dart,,context.pop,,,,back_or_close_modal
arena,flutter_app/lib/features/arena/presentation/pages/arena_report_case_page.dart,188,arena_report_case_page.dart,Xem tất cả báo cáo,context.go,AppRoutePaths.arenaMyReports,/arena/my-reports,MyArenaReportsPage (/arena/my-reports),
arena,flutter_app/lib/features/arena/presentation/pages/arena_report_case_page.dart,227,arena_report_case_page.dart,,context.go,AppRoutePaths.arenaChallenge(challengeId),/arena/challenge/<challengeId>,ArenaChallengeDetailPage (/arena/challenge/:challengeId),
arena,flutter_app/lib/features/arena/presentation/pages/arena_report_case_page.dart,253,arena_report_case_page.dart,,context.go,AppRoutePaths.arena,/arena,ArenaHomePage (/arena),
arena,flutter_app/lib/features/arena/presentation/pages/arena_report_case_page.dart,250,arena_report_case_page.dart,,context.pop,,,,back_or_close_modal
arena,flutter_app/lib/features/arena/presentation/pages/arena_resolution_center_page.dart,61,arena_resolution_center_page.dart,Chốt kết quả | Resolution · Open Arena | SC-192 ArenaResolutionCenterPage,context.go,AppRoutePaths.arena,/arena,ArenaHomePage (/arena),
arena,flutter_app/lib/features/arena/presentation/pages/arena_resolution_center_page.dart,58,arena_resolution_center_page.dart,Chốt kết quả | Resolution · Open Arena | SC-192 ArenaResolutionCenterPage,context.pop,,,,back_or_close_modal
arena,flutter_app/lib/features/arena/presentation/pages/arena_safety_center_page.dart,181,arena_safety_center_page.dart,,context.go,AppRoutePaths.arena,/arena,ArenaHomePage (/arena),
arena,flutter_app/lib/features/arena/presentation/pages/arena_safety_center_page.dart,190,arena_safety_center_page.dart,,context.go,AppRoutePaths.arena,/arena,ArenaHomePage (/arena),
arena,flutter_app/lib/features/arena/presentation/pages/arena_safety_center_page.dart,178,arena_safety_center_page.dart,,context.pop,,,,back_or_close_modal
arena,flutter_app/lib/features/arena/presentation/pages/arena_safety_center_page.dart,187,arena_safety_center_page.dart,,context.pop,,,,back_or_close_modal
arena,flutter_app/lib/features/arena/presentation/pages/arena_smart_rule_builder_page.dart,508,arena_smart_rule_builder_page.dart,,context.go,AppRoutePaths.arenaMy,/arena/my,MyArenaPage (/arena/my),
arena,flutter_app/lib/features/arena/presentation/pages/arena_smart_rule_builder_page_part_03.dart,542,arena_smart_rule_builder_page.dart,,Navigator.of(context).pop,option,,,back_or_close_modal
arena,flutter_app/lib/features/arena/presentation/pages/arena_smart_rule_builder_page_part_03.dart,587,arena_smart_rule_builder_page.dart,,Navigator.of(context).pop,option,,,back_or_close_modal
arena,flutter_app/lib/features/arena/presentation/pages/arena_smart_rule_builder_page_part_03.dart,772,arena_smart_rule_builder_page.dart,${draft.slotsTotal} slots | Clarity ${draft.clarityScore} | Kiểm tra lại | Xác nhận gửi,Navigator.of(context).pop,false,,,back_or_close_modal
arena,flutter_app/lib/features/arena/presentation/pages/arena_smart_rule_builder_page_part_03.dart,781,arena_smart_rule_builder_page.dart,Kiểm tra lại | Xác nhận gửi,Navigator.of(context).pop,true,,,back_or_close_modal
arena,flutter_app/lib/features/arena/presentation/pages/arena_studio_page.dart,116,arena_studio_page.dart,,context.go,AppRoutePaths.arenaStudioSmartRules,/arena/studio/smart-rules,ArenaSmartRuleBuilderPage (/arena/studio/smart-rules),
arena,flutter_app/lib/features/arena/presentation/pages/arena_trust_breakdown_page.dart,123,arena_trust_breakdown_page.dart,,context.go,AppRoutePaths.arena,/arena,ArenaHomePage (/arena),
arena,flutter_app/lib/features/arena/presentation/pages/arena_trust_breakdown_page.dart,288,arena_trust_breakdown_page.dart,,context.go,AppRoutePaths.arenaCreator(creator.id),/arena/creator/<creator.id>,ArenaCreatorPage (/arena/creator/:creatorId),
arena,flutter_app/lib/features/arena/presentation/pages/arena_trust_breakdown_page.dart,351,arena_trust_breakdown_page.dart,,context.go,AppRoutePaths.arenaSafety,/arena/safety,ArenaSafetyCenterPage (/arena/safety),
arena,flutter_app/lib/features/arena/presentation/pages/arena_trust_breakdown_page.dart,120,arena_trust_breakdown_page.dart,Đóng,context.pop,,,,back_or_close_modal
arena,flutter_app/lib/features/arena/presentation/pages/connected_ecosystem_production_page.dart,140,connected_ecosystem_production_page.dart,,context.go,_resolveConnectedRoute(route),,,dynamic_route_expression
arena,flutter_app/lib/features/arena/presentation/pages/connected_ecosystem_production_page.dart,149,connected_ecosystem_production_page.dart,,context.go,AppRoutePaths.arena,/arena,ArenaHomePage (/arena),
arena,flutter_app/lib/features/arena/presentation/pages/connected_ecosystem_production_page.dart,146,connected_ecosystem_production_page.dart,,context.pop,,,,back_or_close_modal
arena,flutter_app/lib/features/arena/presentation/pages/my_arena_reports_page.dart,170,my_arena_reports_page.dart,,context.go,AppRoutePaths.arena,/arena,ArenaHomePage (/arena),
arena,flutter_app/lib/features/arena/presentation/pages/my_arena_reports_page.dart,167,my_arena_reports_page.dart,,context.pop,,,,back_or_close_modal
arena,flutter_app/lib/features/arena/presentation/pages/verified_challenges_page.dart,101,verified_challenges_page.dart,,context.go,AppRoutePaths.arena,/arena,ArenaHomePage (/arena),
arena,flutter_app/lib/features/arena/presentation/pages/verified_challenges_page.dart,98,verified_challenges_page.dart,,context.pop,,,,back_or_close_modal
arena,flutter_app/lib/features/arena/presentation/widgets/arena_navigation_actions.dart,13,arena_navigation_actions.dart,,context.go,route,,,dynamic_route_expression
arena,flutter_app/lib/features/arena/presentation/widgets/arena_points_entry_detail_page_sections.dart,90,arena_points_entry_detail_page_sections.dart,Mô tả | Mã lý do | Thời gian | Challenge liên quan,context.go,AppRoutePaths.arenaChallenge(entry.linkedChallengeId!),/arena/challenge/<entry.linkedChallengeId!>,ArenaChallengeDetailPage (/arena/challenge/:challengeId),
arena,flutter_app/lib/features/arena/presentation/widgets/arena_points_entry_detail_page_sections.dart,102,arena_points_entry_detail_page_sections.dart,Challenge liên quan | Mode liên quan,context.go,AppRoutePaths.arenaMode(entry.linkedModeId!),/arena/mode/<entry.linkedModeId!>,ArenaModeDetailPage (/arena/mode/:modeId),
arena,flutter_app/lib/features/arena/presentation/widgets/arena_points_entry_detail_page_sections.dart,256,arena_points_entry_detail_page_sections.dart,Xem challenge,context.go,AppRoutePaths.arenaChallenge(entry.linkedChallengeId!),/arena/challenge/<entry.linkedChallengeId!>,ArenaChallengeDetailPage (/arena/challenge/:challengeId),
arena,flutter_app/lib/features/arena/presentation/widgets/arena_points_ledger_page_sections.dart,185,arena_points_ledger_page_sections.dart,,context.go,AppRoutePaths.arenaLedgerEntry(entry.id),/arena/ledger/entry/<entry.id>,ArenaPointsEntryDetailPage (/arena/ledger/entry/:entryId),
arena,flutter_app/lib/features/arena/presentation/widgets/arena_report_case_related_common.dart,23,arena_report_case_related_common.dart,,context.go,AppRoutePaths.arenaReportCase(report.id),/arena/report/<report.id>,ArenaReportCasePage (/arena/report/:caseId),
arena,flutter_app/lib/features/arena/presentation/widgets/arena_safety_center_page_common.dart,19,arena_safety_center_page_common.dart,,context.go,link.route,,,dynamic_route_expression
arena,flutter_app/lib/features/arena/presentation/widgets/arena_studio_steps.dart,122,arena_studio_steps.dart,Mở Smart Rule Builder,context.go,AppRoutePaths.arenaSafety,/arena/safety,ArenaSafetyCenterPage (/arena/safety),
arena,flutter_app/lib/features/arena/presentation/widgets/my_arena_reports_page_sections.dart,211,my_arena_reports_page_sections.dart,,context.go,AppRoutePaths.arenaReportCase(report.id),/arena/report/<report.id>,ArenaReportCasePage (/arena/report/:caseId),
auth,flutter_app/lib/features/auth/presentation/pages/forgot_password_page.dart,305,forgot_password_page.dart,,context.go,AppRoutePaths.authLogin,/auth/login,_AuthRouteShell (/auth/login),
auth,flutter_app/lib/features/auth/presentation/pages/login_page.dart,89,login_page.dart,,context.go,AppRoutePaths.home,/home,HomePage (/home),
auth,flutter_app/lib/features/auth/presentation/pages/login_page.dart,321,login_page.dart,,context.go,AppRoutePaths.authForgotPassword,/auth/forgot-password,_AuthRouteShell (/auth/forgot-password),
auth,flutter_app/lib/features/auth/presentation/pages/login_page.dart,339,login_page.dart,,context.go,AppRoutePaths.authRegister,/auth/register,_AuthRouteShell (/auth/register),
auth,flutter_app/lib/features/auth/presentation/pages/otp_page.dart,172,otp_page.dart,,context.go,AppRoutePaths.auth2faSetup,/auth/2fa-setup,_AuthRouteShell (/auth/2fa-setup),
auth,flutter_app/lib/features/auth/presentation/pages/otp_page.dart,174,otp_page.dart,,context.go,AppRoutePaths.home,/home,HomePage (/home),
auth,flutter_app/lib/features/auth/presentation/pages/otp_page.dart,177,otp_page.dart,,context.go,AppRoutePaths.authResetPassword,/auth/reset-password,_AuthRouteShell (/auth/reset-password),
auth,flutter_app/lib/features/auth/presentation/pages/otp_page.dart,180,otp_page.dart,,context.go,AppRoutePaths.authResetPassword,/auth/reset-password,_AuthRouteShell (/auth/reset-password),
auth,flutter_app/lib/features/auth/presentation/pages/otp_page.dart,230,otp_page.dart,Xác minh OTP | Xác thực · Bảo mật | SC-003 OTPPage,context.go,AppRoutePaths.authLogin,/auth/login,_AuthRouteShell (/auth/login),
auth,flutter_app/lib/features/auth/presentation/pages/register_page.dart,142,register_page.dart,,context.go,AppRoutePaths.authOtp,/auth/otp,_AuthRouteShell (/auth/otp),
auth,flutter_app/lib/features/auth/presentation/pages/register_page.dart,175,register_page.dart,Tạo tài khoản | Xác thực · Đăng ký | SC-002 RegisterPage,context.go,AppRoutePaths.authLogin,/auth/login,_AuthRouteShell (/auth/login),
auth,flutter_app/lib/features/auth/presentation/pages/register_page.dart,336,register_page.dart,Tiếp tục,context.go,AppRoutePaths.authLogin,/auth/login,_AuthRouteShell (/auth/login),
auth,flutter_app/lib/features/auth/presentation/pages/reset_password_page.dart,273,reset_password_page.dart,,context.go,AppRoutePaths.authLogin,/auth/login,_AuthRouteShell (/auth/login),
auth,flutter_app/lib/features/auth/presentation/pages/reset_password_page.dart,292,reset_password_page.dart,Xác minh lại,context.go,AppRoutePaths.authForgotPassword,/auth/forgot-password,_AuthRouteShell (/auth/forgot-password),
auth,flutter_app/lib/features/auth/presentation/pages/reset_password_page.dart,298,reset_password_page.dart,Xác minh lại,context.go,AppRoutePaths.authLogin,/auth/login,_AuthRouteShell (/auth/login),
auth,flutter_app/lib/features/auth/presentation/pages/reset_password_page.dart,317,reset_password_page.dart,Đăng nhập,context.go,AppRoutePaths.authLogin,/auth/login,_AuthRouteShell (/auth/login),
auth,flutter_app/lib/features/auth/presentation/pages/two_fa_setup_page.dart,178,two_fa_setup_page.dart,,context.go,AppRoutePaths.home,/home,HomePage (/home),
cross_module,flutter_app/lib/features/cross_module/presentation/pages/cross_module_analytics.dart,56,cross_module_analytics.dart,SC-322 CrossModuleAnalytics,context.go,snapshot.backRoute,,,dynamic_route_expression
cross_module,flutter_app/lib/features/cross_module/presentation/pages/smart_alert_center.dart,58,smart_alert_center.dart,SC-323 SmartAlertCenter,context.go,snapshot.backRoute,,,dynamic_route_expression
cross_module,flutter_app/lib/features/cross_module/presentation/pages/tax_report_center_part_01.dart,27,tax_report_center.dart,SC-324 TaxReportCenter,context.go,snapshot.backRoute,,,dynamic_route_expression
cross_module,flutter_app/lib/features/cross_module/presentation/pages/unified_portfolio_dashboard.dart,51,unified_portfolio_dashboard.dart,SC-321 UnifiedPortfolioDashboard,context.go,snapshot.backRoute,,,dynamic_route_expression
cross_module,flutter_app/lib/features/cross_module/presentation/pages/unified_portfolio_dashboard.dart,65,unified_portfolio_dashboard.dart,SC-321 UnifiedPortfolioDashboard,context.go,route,,,dynamic_route_expression
dca,flutter_app/lib/features/dca/presentation/pages/dca_backtester_page.dart,153,dca_backtester_page.dart,Backtest report ready,context.go,AppRoutePaths.dca,/dca,DCAPage (/dca),
dca,flutter_app/lib/features/dca/presentation/pages/dca_backtester_page.dart,150,dca_backtester_page.dart,Backtest report ready,context.pop,,,,back_or_close_modal
dca,flutter_app/lib/features/dca/presentation/pages/dca_dynamic_amount_page.dart,131,dca_dynamic_amount_page.dart,Xem lại chiến lược số tiền,context.go,AppRoutePaths.dca,/dca,DCAPage (/dca),
dca,flutter_app/lib/features/dca/presentation/pages/dca_dynamic_amount_page.dart,146,dca_dynamic_amount_page.dart,Dynamic amount settings ready,context.go,AppRoutePaths.dca,/dca,DCAPage (/dca),
dca,flutter_app/lib/features/dca/presentation/pages/dca_dynamic_amount_page.dart,143,dca_dynamic_amount_page.dart,Dynamic amount settings ready,context.pop,,,,back_or_close_modal
dca,flutter_app/lib/features/dca/presentation/pages/dca_multi_asset_page_part_01.dart,207,dca_multi_asset_page.dart,Multi-asset performance state review | Add asset flow ready,context.go,AppRoutePaths.dca,/dca,DCAPage (/dca),
dca,flutter_app/lib/features/dca/presentation/pages/dca_multi_asset_page_part_01.dart,204,dca_multi_asset_page.dart,Multi-asset performance state review | Add asset flow ready,context.pop,,,,back_or_close_modal
dca,flutter_app/lib/features/dca/presentation/pages/dca_overview_demo.dart,73,dca_overview_demo.dart,Loading demo | SC-400 DCAOverviewDemo,context.go,snapshot.backRoute,,,dynamic_route_expression
dca,flutter_app/lib/features/dca/presentation/pages/dca_page_part_01.dart,170,dca_page.dart,,context.go,route,,,dynamic_route_expression
dca,flutter_app/lib/features/dca/presentation/pages/dca_performance_compare_page.dart,193,dca_performance_compare_page.dart,,context.go,AppRoutePaths.dca,/dca,DCAPage (/dca),
dca,flutter_app/lib/features/dca/presentation/pages/dca_performance_compare_page.dart,190,dca_performance_compare_page.dart,,context.pop,,,,back_or_close_modal
dca,flutter_app/lib/features/dca/presentation/pages/dca_portfolio_optimizer_page.dart,150,dca_portfolio_optimizer_page.dart,Xem lại phân bổ đề xuất,context.go,AppRoutePaths.dcaRebalanceConfig,/dca/rebalance/config,DCARebalanceConfig (/dca/rebalance/config),
dca,flutter_app/lib/features/dca/presentation/pages/dca_portfolio_optimizer_page.dart,165,dca_portfolio_optimizer_page.dart,Portfolio report ready to share,context.go,AppRoutePaths.dca,/dca,DCAPage (/dca),
dca,flutter_app/lib/features/dca/presentation/pages/dca_portfolio_optimizer_page.dart,162,dca_portfolio_optimizer_page.dart,Portfolio report ready to share,context.pop,,,,back_or_close_modal
dca,flutter_app/lib/features/dca/presentation/pages/dca_rebalance_config_page.dart,288,dca_rebalance_config_page.dart,,context.go,AppRoutePaths.dcaRebalanceDashboard,/dca/rebalance/config001,DCARebalanceDashboard (/dca/rebalance/config001),
dca,flutter_app/lib/features/dca/presentation/pages/dca_rebalance_config_page.dart,296,dca_rebalance_config_page.dart,,context.go,AppRoutePaths.dca,/dca,DCAPage (/dca),
dca,flutter_app/lib/features/dca/presentation/pages/dca_rebalance_config_page.dart,293,dca_rebalance_config_page.dart,,context.pop,,,,back_or_close_modal
dca,flutter_app/lib/features/dca/presentation/pages/dca_rebalance_dashboard_page.dart,71,dca_rebalance_dashboard_page.dart,Lịch sử cân bằng,context.go,AppRoutePaths.dcaRebalanceConfig,/dca/rebalance/config,DCARebalanceConfig (/dca/rebalance/config),
dca,flutter_app/lib/features/dca/presentation/pages/dca_rebalance_dashboard_page.dart,111,dca_rebalance_dashboard_page.dart,,context.go,AppRoutePaths.dca,/dca,DCAPage (/dca),
dca,flutter_app/lib/features/dca/presentation/pages/dca_rebalance_dashboard_page.dart,108,dca_rebalance_dashboard_page.dart,Rebalance review required,context.pop,,,,back_or_close_modal
dca,flutter_app/lib/features/dca/presentation/pages/dca_schedule_analytics_page.dart,71,dca_schedule_analytics_page.dart,Hiệu suất lịch mua,context.go,AppRoutePaths.dcaScheduleConfig,/dca/schedule/config,DCAScheduleConfig (/dca/schedule/config),
dca,flutter_app/lib/features/dca/presentation/pages/dca_schedule_analytics_page.dart,110,dca_schedule_analytics_page.dart,,context.go,AppRoutePaths.dca,/dca,DCAPage (/dca),
dca,flutter_app/lib/features/dca/presentation/pages/dca_schedule_analytics_page.dart,107,dca_schedule_analytics_page.dart,Phân tích chỉ đọc,context.pop,,,,back_or_close_modal
dca,flutter_app/lib/features/dca/presentation/pages/dca_schedule_config_page.dart,220,dca_schedule_config_page.dart,,context.go,AppRoutePaths.dcaScheduleAnalytics,/dca/schedule/config001,DCAScheduleAnalytics (/dca/schedule/config001),
dca,flutter_app/lib/features/dca/presentation/pages/dca_schedule_config_page.dart,228,dca_schedule_config_page.dart,,context.go,AppRoutePaths.dca,/dca,DCAPage (/dca),
dca,flutter_app/lib/features/dca/presentation/pages/dca_schedule_config_page.dart,225,dca_schedule_config_page.dart,,context.pop,,,,back_or_close_modal
dca,flutter_app/lib/features/dca/presentation/pages/dca_smart_rules_page.dart,172,dca_smart_rules_page.dart,Create rule flow ready,context.go,AppRoutePaths.dca,/dca,DCAPage (/dca),
dca,flutter_app/lib/features/dca/presentation/pages/dca_smart_rules_page.dart,169,dca_smart_rules_page.dart,Rule Trigger History | Create rule flow ready,context.pop,,,,back_or_close_modal
dev,flutter_app/lib/features/dev/presentation/pages/design_system_page.dart,101,design_system_page.dart,SC-399 DesignSystemPage,context.go,snapshot.backRoute,,,dynamic_route_expression
dev,flutter_app/lib/features/dev/presentation/pages/missing_screens_showcase_page.dart,73,missing_screens_showcase_page.dart,SC-398 MissingScreensShowcasePage,context.go,snapshot.backRoute,,,dynamic_route_expression
dev,flutter_app/lib/features/dev/presentation/pages/performance_monitor.dart,62,performance_monitor.dart,SC-326 PerformanceMonitor,context.go,snapshot.backRoute,,,dynamic_route_expression
dev,flutter_app/lib/features/dev/presentation/pages/route_checker_page.dart,72,route_checker_page.dart,SC-325 RouteChecker,context.go,snapshot.backRoute,,,dynamic_route_expression
dev,flutter_app/lib/features/dev/presentation/widgets/missing_screens_showcase_page_sections.dart,20,missing_screens_showcase_page_sections.dart,,context.go,screen.route,,,dynamic_route_expression
dev,flutter_app/lib/features/dev/presentation/widgets/missing_screens_showcase_page_sections.dart,46,missing_screens_showcase_page_sections.dart,,context.go,page.route,,,dynamic_route_expression
dev,flutter_app/lib/features/dev/presentation/widgets/missing_screens_showcase_page_sections.dart,64,missing_screens_showcase_page_sections.dart,,context.go,flow.fromRoute,,,dynamic_route_expression
discovery,flutter_app/lib/features/discovery/presentation/pages/topic_hub_page.dart,98,topic_hub_page.dart,SC-284 TopicHubPage,context.go,AppRoutePaths.home,/home,HomePage (/home),
discovery,flutter_app/lib/features/discovery/presentation/pages/topic_hub_page.dart,103,topic_hub_page.dart,SC-284 TopicHubPage,context.go,snapshot.searchRoute,,,dynamic_route_expression
discovery,flutter_app/lib/features/discovery/presentation/pages/unified_search_page.dart,82,unified_search_page.dart,SC-283 UnifiedSearchPage,context.go,AppRoutePaths.home,/home,HomePage (/home),
discovery,flutter_app/lib/features/discovery/presentation/widgets/topic_hub_cards.dart,12,topic_hub_cards.dart,Prediction Market,context.go,event.route,,,dynamic_route_expression
discovery,flutter_app/lib/features/discovery/presentation/widgets/topic_hub_cards.dart,87,topic_hub_cards.dart,Arena Points only,context.go,room.route,,,dynamic_route_expression
discovery,flutter_app/lib/features/discovery/presentation/widgets/topic_hub_cards.dart,152,topic_hub_cards.dart,,context.go,mode.route,,,dynamic_route_expression
discovery,flutter_app/lib/features/discovery/presentation/widgets/topic_hub_cards.dart,215,topic_hub_cards.dart,,context.go,creator.route,,,dynamic_route_expression
discovery,flutter_app/lib/features/discovery/presentation/widgets/topic_hub_cards.dart,295,topic_hub_cards.dart,Tạo room,context.go,snapshot.createArenaRoute,,,dynamic_route_expression
discovery,flutter_app/lib/features/discovery/presentation/widgets/topic_hub_sections.dart,17,topic_hub_sections.dart,Xem tất cả | Prediction Events,context.go,snapshot.predictionsRoute,,,dynamic_route_expression
discovery,flutter_app/lib/features/discovery/presentation/widgets/topic_hub_sections.dart,40,topic_hub_sections.dart,Xem tất cả | Live Arena Rooms,context.go,snapshot.arenaRoute,,,dynamic_route_expression
discovery,flutter_app/lib/features/discovery/presentation/widgets/unified_search_entity_cards.dart,12,unified_search_entity_cards.dart,Arena Points only,context.go,room.route,,,dynamic_route_expression
discovery,flutter_app/lib/features/discovery/presentation/widgets/unified_search_entity_cards.dart,86,unified_search_entity_cards.dart,,context.go,creator.route,,,dynamic_route_expression
discovery,flutter_app/lib/features/discovery/presentation/widgets/unified_search_entity_cards.dart,155,unified_search_entity_cards.dart,Spot Trading,context.go,pair.route,,,dynamic_route_expression
