"module","source_file","line","kind","target_expression","classification","fallback_detected","trigger_hint"
"earn","flutter_app/lib/features/earn/presentation/pages/savings_autopilot_page.dart","251","Navigator.of(context).pop","","modal_close","False",""
"earn","flutter_app/lib/features/earn/presentation/pages/savings_autopilot_page.dart","257","Navigator.of(context).pop","","modal_close","False",""
"earn","flutter_app/lib/features/earn/presentation/pages/savings_comparison_page.dart","224","Navigator.of(context).pop","","modal_close","False",""
"earn","flutter_app/lib/features/earn/presentation/pages/savings_goal_page_part_01.dart","112","Navigator.of(context).pop","","modal_close","False",""
"earn","flutter_app/lib/features/earn/presentation/pages/savings_goal_page_part_02.dart","120","Navigator.of(context).pop","","modal_close","False",""
"earn","flutter_app/lib/features/earn/presentation/pages/savings_goal_page_part_02.dart","169","Navigator.of(context).pop","","modal_close","False","Thời gian | Sản phẩm liên kết | Milestone rewards | Tạo mục tiêu"
"earn","flutter_app/lib/features/earn/presentation/pages/savings_goal_page_part_02.dart","264","Navigator.of(context).pop","","modal_close","False",""
"earn","flutter_app/lib/features/earn/presentation/pages/savings_guide_page.dart","146","Navigator.of(context).pop","","modal_close","False",""
"earn","flutter_app/lib/features/earn/presentation/pages/savings_guide_page.dart","197","Navigator.of(context).pop","","modal_close","False",""
"earn","flutter_app/lib/features/earn/presentation/pages/savings_ladder_page.dart","334","Navigator.of(context).pop","","modal_close","False","Số bậc | APY bình quân | Lãi dự kiến/năm | Xác nhận tạo ladder"
"earn","flutter_app/lib/features/earn/presentation/pages/savings_recommendations_page_part_02.dart","324","Navigator.of(context).pop","","modal_close","False",""
"earn","flutter_app/lib/features/earn/presentation/pages/savings_recommendations_page_part_02.dart","411","Navigator.of(context).pop","","modal_close","False","Lưu ý / Nhược điểm | Phù hợp với | Đăng ký sản phẩm theo chiến lược"
"earn","flutter_app/lib/features/earn/presentation/pages/savings_recommendations_page_part_02.dart","442","Navigator.of(context).pop","","modal_close","False",""
"earn","flutter_app/lib/features/earn/presentation/pages/staking_guide_page.dart","156","Navigator.of(context).pop","","modal_close","False",""
"earn","flutter_app/lib/features/earn/presentation/pages/staking_guide_page.dart","204","Navigator.of(context).pop","","modal_close","False",""
"earn","flutter_app/lib/features/earn/presentation/pages/staking_insurance_page_part_03.dart","82","Navigator.of(context).pop","","modal_close","False","Chọn plan này"
"earn","flutter_app/lib/features/earn/presentation/pages/staking_insurance_page_part_03.dart","138","Navigator.of(context).pop","","modal_close","False","Số lượng bị mất (USD) | Mô tả chi tiết | Submit Claim"
"earn","flutter_app/lib/features/earn/presentation/pages/staking_insurance_page_part_03.dart","181","Navigator.of(context).pop","","modal_close","False",""
"earn","flutter_app/lib/features/earn/presentation/pages/staking_liquid_staking_page_part_03.dart","115","Navigator.of(context).pop","","modal_close","False",""
"earn","flutter_app/lib/features/earn/presentation/pages/staking_proof_of_reserves_page_part_02.dart","375","Navigator.of(context).pop","","modal_close","False","Close"
"earn","flutter_app/lib/features/earn/presentation/pages/staking_proof_of_reserves_page_part_02.dart","490","Navigator.of(context).pop","","modal_close","False",""
"earn","flutter_app/lib/features/earn/presentation/pages/staking_transaction_reporting_page.dart","151","Navigator.of(context).pop","","modal_close","False",""
"earn","flutter_app/lib/features/earn/presentation/pages/staking_webhooks_page.dart","421","Navigator.of(context).pop","","modal_close","False",""
"earn","flutter_app/lib/features/earn/presentation/widgets/savings_comparison_picker_widgets.dart","30","Navigator.of(context).pop","","modal_close","False",""
"earn","flutter_app/lib/features/earn/presentation/widgets/savings_dca_history_sheet.dart","113","Navigator.of(context).pop","","modal_close","False","Tạo kế hoạch DCA"
"earn","flutter_app/lib/features/earn/presentation/widgets/savings_dca_history_sheet.dart","132","Navigator.of(context).pop","","modal_close","False","Xem trước lịch DCA"
"earn","flutter_app/lib/features/earn/presentation/widgets/staking_advanced_orders_sheet_fields.dart","54","Navigator.of(context).pop","","modal_close","False","Order Type | Create Order"
"earn","flutter_app/lib/features/earn/presentation/widgets/staking_advanced_orders_sheet_fields.dart","147","Navigator.of(context).pop","","modal_close","False","Create ${_orderTypeLabel(_selected)}"
"earn","flutter_app/lib/features/earn/presentation/widgets/staking_institutional_sheet_painter.dart","50","Navigator.of(context).pop","","modal_close","False","Operation Type"
"earn","flutter_app/lib/features/earn/presentation/widgets/staking_institutional_sheet_painter.dart","99","Navigator.of(context).pop","","modal_close","False","Submit for Approval"
"earn","flutter_app/lib/features/earn/presentation/widgets/staking_recommendations_sheet.dart","35","Navigator.of(context).pop","","modal_close","False",""
"earn","flutter_app/lib/features/earn/presentation/widgets/staking_recommendations_sheet.dart","104","Navigator.of(context).pop","","modal_close","False","Nhược điểm | Phù hợp với | Áp dụng chiến lược này"
"earn","flutter_app/lib/features/earn/presentation/widgets/staking_regulatory_framework_sheet_common.dart","22","Navigator.of(context).pop","","modal_close","False",""
"earn","flutter_app/lib/features/earn/presentation/widgets/staking_regulatory_framework_sheet_common.dart","94","Navigator.of(context).pop","","modal_close","False","Verify on ${license.website}"
"earn","flutter_app/lib/features/earn/presentation/widgets/staking_risk_score_inputs.dart","203","Navigator.of(context).pop","","modal_close","False",""
"earn","flutter_app/lib/features/earn/presentation/widgets/staking_transaction_reporting_sheet_widgets.dart","159","Navigator.of(context).pop","","modal_close","False",""
"earn","flutter_app/lib/features/earn/presentation/widgets/staking_transaction_reporting_sheet_widgets.dart","227","Navigator.of(context).pop","","modal_close","False",""
"markets","flutter_app/lib/features/markets/presentation/pages/watchlist_page.dart","116","Navigator.of(context).pop","","modal_close","False","Hủy | Lưu"
"markets","flutter_app/lib/features/markets/presentation/pages/watchlist_page.dart","120","Navigator.of(context).pop","controller.text","modal_close","False","Hủy | Lưu"
"news","flutter_app/lib/features/news/presentation/widgets/news_page_common.dart","134","Navigator.of(context).pop","","modal_close","False",""
"p2p","flutter_app/lib/features/p2p/presentation/pages/p2p_express_confirm_page.dart","154","context.pop","","fallback_to_parent_route","True",""
"p2p","flutter_app/lib/features/p2p/presentation/pages/p2p_order_cancel_page.dart","128","context.pop","","fallback_to_parent_route","True",""
"p2p","flutter_app/lib/features/p2p/presentation/pages/p2p_order_proof_page.dart","164","context.pop","","fallback_to_parent_route","True",""
"p2p","flutter_app/lib/features/p2p/presentation/pages/p2p_order_rate_page.dart","156","context.pop","","fallback_to_parent_route","True",""
"p2p","flutter_app/lib/features/p2p/presentation/pages/p2p_order_timeline_page.dart","108","context.pop","","fallback_to_parent_route","True",""
"p2p","flutter_app/lib/features/p2p/presentation/pages/p2p_report_merchant_page.dart","207","context.pop","","fallback_to_parent_route","True",""
"profile","flutter_app/lib/features/profile/presentation/pages/activity_log_page.dart","136","context.pop","","fallback_to_parent_route","True",""
"profile","flutter_app/lib/features/profile/presentation/pages/api_key_create_page.dart","260","context.pop","","fallback_to_parent_route","True",""
"profile","flutter_app/lib/features/profile/presentation/pages/api_management_page.dart","180","context.pop","","fallback_to_parent_route","True","Hu\u1EF7 | Xo\u00E1"
"profile","flutter_app/lib/features/profile/presentation/pages/api_management_page.dart","163","Navigator.of(context).pop","false","modal_close","False","Hu\u1EF7 | Xo\u00E1"
"profile","flutter_app/lib/features/profile/presentation/pages/api_management_page.dart","167","Navigator.of(context).pop","true","modal_close","False","Hu\u1EF7 | Xo\u00E1"
"profile","flutter_app/lib/features/profile/presentation/pages/device_management_page.dart","191","context.pop","","fallback_to_parent_route","True",""
"profile","flutter_app/lib/features/profile/presentation/pages/edit_profile_page.dart","165","context.pop","","fallback_to_parent_route","True",""
"profile","flutter_app/lib/features/profile/presentation/pages/kyc_page.dart","119","context.pop","","fallback_to_parent_route","True",""
"profile","flutter_app/lib/features/profile/presentation/pages/security_page.dart","136","context.pop","","fallback_to_parent_route","True",""
"profile","flutter_app/lib/features/profile/presentation/pages/settings_page.dart","157","context.pop","","fallback_to_parent_route","True",""
"profile","flutter_app/lib/features/profile/presentation/pages/sub_account_page.dart","137","context.pop","","fallback_to_parent_route","True",""
"profile","flutter_app/lib/features/profile/presentation/pages/vip_page.dart","127","context.pop","","fallback_to_parent_route","True",""
"referral","flutter_app/lib/features/referral/presentation/pages/referral_home_page.dart","202","Navigator.of(context).pop","","modal_close","False","Sao chép lời mời"
"referral","flutter_app/lib/features/referral/presentation/pages/referral_rewards_page_part_01.dart","146","Navigator.of(context).pop","","modal_close","False","Tải xuống CSV"
"referral","flutter_app/lib/features/referral/presentation/pages/referral_rewards_page_part_01.dart","198","Navigator.of(context).pop","","modal_close","False","Gửi báo lỗi"
"trade","flutter_app/lib/features/trade/presentation/pages/trading_bots_page_part_03.dart","326","Navigator.pop","context","sheet_result_return","False",""
"trade","flutter_app/lib/features/trade/presentation/pages/trading_bots_page_part_03.dart","395","Navigator.pop","context","sheet_result_return","False",""
"trade","flutter_app/lib/features/trade/presentation/widgets/advanced_tools_tabs_sheets.dart","122","Navigator.pop","context","sheet_result_return","False","${order.side.name.toUpperCase()} ${order.id} | Place Buy Order"
"trade","flutter_app/lib/features/trade/presentation/widgets/advanced_tools_tabs_sheets.dart","163","Navigator.pop","context","sheet_result_return","False","${order.symbol} ${order.side.name.toUpperCase()} | Cancel Selected Orders"
"trade","flutter_app/lib/features/trade/presentation/widgets/advanced_tools_tabs_sheets.dart","192","Navigator.pop","context","sheet_result_return","False","Trigger Quick Buy | Keyboard Shortcuts"
"trade","flutter_app/lib/features/trade/presentation/widgets/bot_security_settings_sheets.dart","179","Navigator.of(context).pop","","modal_close","False","IP Address | Label (Optional) | Add IP Address"
"trade","flutter_app/lib/features/trade/presentation/widgets/convert_page_widgets.dart","163","Navigator.of(context).pop","","modal_close","False",""
"trade","flutter_app/lib/features/trade/presentation/widgets/convert_page_widgets.dart","184","Navigator.of(context).pop","asset.symbol","modal_close","False",""
"trade","flutter_app/lib/features/trade/presentation/widgets/execution_quality_sheets.dart","84","Navigator.pop","context","sheet_result_return","False","Order ID | Symbol | Current price | Queue position"
"trade","flutter_app/lib/features/trade/presentation/widgets/execution_quality_sheets.dart","131","Navigator.pop","context","sheet_result_return","False","Save Slippage Settings"
"trade","flutter_app/lib/features/trade/presentation/widgets/risk_management_common.dart","124","Navigator.pop","context","sheet_result_return","False","Cặp | Side | Limit | Take Profit"
"trade","flutter_app/lib/features/trade/presentation/widgets/risk_management_common.dart","183","Navigator.pop","context","sheet_result_return","False","Per-unit risk | Suggested amount | Notional | Áp dụng khối lượng"
"wallet","flutter_app/lib/features/wallet/presentation/pages/address_add_page.dart","198","Navigator.of(context).pop","","modal_close","False",""
"wallet","flutter_app/lib/features/wallet/presentation/pages/address_book_page.dart","214","Navigator.of(context).pop","","modal_close","False","Hủy | Xóa địa chỉ | Bạn có chắc muốn xóa địa chỉ ""${address.label}""?"
"wallet","flutter_app/lib/features/wallet/presentation/pages/address_book_page.dart","225","Navigator.of(context).pop","","modal_close","False","Hủy | Xóa | Xóa địa chỉ | Bạn có chắc muốn xóa địa chỉ ""${address.label}""?"
"wallet","flutter_app/lib/features/wallet/presentation/pages/buy_crypto_page.dart","180","Navigator.of(context).pop","","modal_close","False",""
"wallet","flutter_app/lib/features/wallet/presentation/pages/deposit_page.dart","167","Navigator.of(context).pop","","modal_close","False",""
"wallet","flutter_app/lib/features/wallet/presentation/pages/dust_converter_page.dart","269","Navigator.of(context).pop","","modal_close","False","Nh\u1EADn \u0111\u01B0\u1EE3c | Chuy\u1EC3n \u0111\u1ED5i sang $_targetSymbol"
"wallet","flutter_app/lib/features/wallet/presentation/pages/transfer_page.dart","237","Navigator.of(context).pop","","modal_close","False",""
"wallet","flutter_app/lib/features/wallet/presentation/pages/transfer_page.dart","278","Navigator.of(context).pop","","modal_close","False",""
"wallet","flutter_app/lib/features/wallet/presentation/pages/transfer_page.dart","309","Navigator.of(context).pop","","modal_close","False",""
"wallet","flutter_app/lib/features/wallet/presentation/pages/wallet_health_score_page_part_01.dart","88","Navigator.of(context).pop","","modal_close","False",""
"wallet","flutter_app/lib/features/wallet/presentation/pages/withdraw_page.dart","169","Navigator.of(context).pop","","modal_close","False",""
"wallet","flutter_app/lib/features/wallet/presentation/widgets/wallet_token_revoke_sheet.dart","45","Navigator.of(context).pop","","modal_close","False","Cancel"
"wallet","flutter_app/lib/features/wallet/presentation/widgets/wallet_token_revoke_sheet.dart","55","Navigator.of(context).pop","","modal_close","False","Cancel"
"wallet","flutter_app/lib/features/wallet/presentation/widgets/wallet_transfer_confirm_sheet.dart","80","Navigator.of(context).pop","","modal_close","False","Phí | Huỷ | Xác nhận"
"wallet","flutter_app/lib/features/wallet/presentation/widgets/withdraw_preview_sheet.dart","63","Navigator.of(context).pop","","modal_close","False","Cancel | Confirm withdraw"
"wallet","flutter_app/lib/features/wallet/presentation/widgets/withdraw_preview_sheet.dart","72","Navigator.of(context).pop","","modal_close","False","Cancel | Confirm withdraw"
