kind,scope,file,line,allowed,issue,notes
search_action,module_search,lib/features/discovery/presentation/pages/topic_hub_page.dart,103,yes,-,Module/discovery search action is allowlisted.
search_action,global_search,lib/features/home/presentation/widgets/home_header.dart,23,yes,-,Home global command search.
notification_action,global_notification,lib/features/home/presentation/widgets/home_header.dart,28,yes,-,Home global notification inbox action.
notification_action,context_notification,lib/features/launchpad/presentation/pages/claim/launchpad_claim_receipt_page.dart,103,yes,-,Context notification action must not masquerade as global inbox.
notification_action,context_notification,lib/features/p2p/presentation/pages/dispute/p2p_claim_detail_page_state.dart,29,yes,-,Context notification action must not masquerade as global inbox.
search_action,module_search,lib/features/predictions/presentation/pages/hub/predictions_home_page.dart,125,yes,-,Module/discovery search action is allowlisted.
