screen_id,route,page_widget,layout_pattern,vpc_owner_file,rules_1_6_status,l1,l2,l5,l3,exception_reason
SC-294,AppRoutePaths.support,SupportPage,direct_vpc,features/support/presentation/pages/support_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-293,AppRoutePaths.supportAnnouncements,AnnouncementsPage,direct_vpc,features/support/presentation/pages/announcements_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-292,AppRoutePaths.supportHelp,HelpCenterPage,direct_vpc,features/support/presentation/pages/help_center_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
AppRouteNames.sc324TaxReportCenter,AppRoutePaths.taxReports,TaxReportCenter,shared_shell,features/cross_module/presentation/pages/tax_report_center.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-284,AppRoutePaths.topicCrypto,TopicHubPage,direct_vpc,features/discovery/presentation/pages/topic_hub_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-284,AppRoutePaths.topics,TopicHubPage,direct_vpc,features/discovery/presentation/pages/topic_hub_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
AppRouteNames.sc048Trade,AppRoutePaths.trade,TradePage,shared_shell,features/trade/presentation/pages/trade_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-062,AppRoutePaths.tradeAdvancedTools,AdvancedToolsDemoPage,direct_vpc,features/trade/presentation/pages/advanced_tools_demo_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-134,AppRoutePaths.tradeBotApiDocumentation,BotApiDocumentationPage,direct_vpc,features/trade/presentation/pages/bot_api_documentation_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-125,AppRoutePaths.tradeBotBacktesting,BotBacktestingPage,direct_vpc,features/trade/presentation/pages/bot_backtesting_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-129,AppRoutePaths.tradeBotDrawdownAnalyzer,BotDrawdownAnalyzerPage,shared_shell,features/trade/presentation/pages/bot_drawdown_analyzer_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-121,AppRoutePaths.tradeBotEmergencyStop,BotEmergencyStopPage,direct_vpc,features/trade/presentation/pages/bot_emergency_stop_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-130,AppRoutePaths.tradeBotEquityCurve,BotEquityCurvePage,shared_shell,features/trade/presentation/pages/bot_equity_curve_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-132,AppRoutePaths.tradeBotFaq,BotFaqPage,shared_shell,features/trade/presentation/pages/bot_faq_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-131,AppRoutePaths.tradeBotGuide,BotGuidePage,direct_vpc,features/trade/presentation/pages/bot_guide_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-123,AppRoutePaths.tradeBotHistory,BotHistoryPage,shared_shell,features/trade/presentation/pages/bot_history_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-127,AppRoutePaths.tradeBotOptimization,BotOptimizationPage,direct_vpc,features/trade/presentation/pages/bot_optimization_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-124,AppRoutePaths.tradeBotPerformanceAnalytics,BotPerformanceAnalyticsPage,shared_shell,features/trade/presentation/pages/bot_performance_analytics_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-128,AppRoutePaths.tradeBotPortfolioDashboard,BotPortfolioDashboardPage,shared_shell,features/trade/presentation/pages/bot_portfolio_dashboard_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-120,AppRoutePaths.tradeBotRiskDashboard,BotRiskDashboardPage,shared_shell,features/trade/presentation/pages/bot_risk_dashboard_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-118,AppRoutePaths.tradeBotRiskDisclosure,BotRiskDisclosurePage,shared_shell,features/trade/presentation/pages/bot_risk_disclosure_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
