direction,module,source_file,line,source_unit,trigger_hint,kind,target_expression,normalized_target,target_screen,notes
inbound,trade_terminal,flutter_app/lib/features/trade_terminal/presentation/widgets/tools/risk_management_common.dart,121,risk_management_common.dart,Per-unit risk | Suggested amount | Notional | Áp dụng khối lượng,Navigator.pop,context,,,back_or_close_modal
inbound,trade_terminal,flutter_app/lib/features/trade_terminal/presentation/widgets/tools/risk_management_common.dart,78,risk_management_common.dart,Cặp | Side | Limit | Take Profit,Navigator.pop,context,,,back_or_close_modal
internal,trade,flutter_app/lib/features/trade/presentation/pages/convert/convert_page.dart,275,convert_page.dart,,context.push,AppRoutePaths.tradeSettings,/trade/settings,TradeSettingsPage (/trade/settings),
internal,trade,flutter_app/lib/features/trade/presentation/pages/hub/order_receipt_page.dart,80,order_receipt_page.dart,Thử lại | Chi tiết lệnh | Không tải được chi tiết lệnh | Chi tiết lệnh giao dịch,context.go,AppRoutePaths.tradePair('btcusdt'),/trade/btcusdt,TradePage (/trade/:pairId),
internal,trade,flutter_app/lib/features/trade/presentation/widgets/convert/convert_page_widgets.dart,144,convert_page_widgets.dart,,Navigator.of(context).pop,asset.symbol,,,back_or_close_modal
internal,trade,flutter_app/lib/features/trade/presentation/widgets/hub/order_receipt_page_common.dart,94,order_receipt_page_common.dart,,context.go,supportRoute,,,dynamic_route_expression
internal,trade,flutter_app/lib/features/trade/presentation/widgets/hub/order_receipt_page_sections.dart,18,order_receipt_page_sections.dart,Tóm tắt khớp lệnh,context.go,AppRoutePaths.tradeOrdersHistory,/trade/orders-history,OrdersHistoryPage (/trade/orders-history),
internal,trade,flutter_app/lib/features/trade/presentation/widgets/hub/trade_page_state.dart,230,trade_page_state.dart,Tiếp theo | Tài sản của bạn,context.push,AppRoutePaths.tradePositions,/trade/positions,PositionDashboardPage (/trade/positions),
internal,trade,flutter_app/lib/features/trade/presentation/widgets/hub/trade_page_state.dart,25,trade_page_state.dart,Lệnh đã gửi,context.go,AppRoutePaths.tradeOrderReceipt,/trade/order-receipt,OrderReceiptPage (/trade/order-receipt),
internal,trade,flutter_app/lib/features/trade/presentation/widgets/hub/trade_page_state.dart,55,trade_page_state.dart,Gửi lệnh thất bại | Hoàn tất lệnh đang chờ | Bạn có ${snapshot.orders.length} lệnh mở cần theo dõi | Bắt đầu giao dịch đầu tiên,context.push,AppRoutePaths.tradeOrdersHistory,/trade/orders-history,OrdersHistoryPage (/trade/orders-history),
internal,trade,flutter_app/lib/features/trade/presentation/widgets/hub/trade_page_state.dart,83,trade_page_state.dart,Bắt đầu giao dịch | Theo dõi tài sản Spot | Bạn đang giữ ${snapshot.positions.length} vị thế | Không tải được màn hình giao dịch,context.push,AppRoutePaths.tradePositions,/trade/positions,PositionDashboardPage (/trade/positions),
internal,trade,flutter_app/lib/features/trade/presentation/widgets/hub/vit_trade_confirm_sheet.dart,104,vit_trade_confirm_sheet.dart,Huỷ | Xác nhận gửi,Navigator.of(context).pop,false,,,back_or_close_modal
internal,trade,flutter_app/lib/features/trade/presentation/widgets/hub/vit_trade_confirm_sheet.dart,113,vit_trade_confirm_sheet.dart,Huỷ | Xác nhận gửi,Navigator.of(context).pop,true,,,back_or_close_modal
internal,trade,flutter_app/lib/features/trade/presentation/widgets/margin/margin_trading_hub_hero_nav.dart,63,margin_trading_hub_hero_nav.dart,,context.go,item.targetPath,,,dynamic_route_expression
