module,classification,route_path_symbol,route_path_token,route_name_symbol,route_name_token,builder_evidence,source_file,source_line
trade_terminal,real_page,'/trade/advanced-chart/:pairId','/trade/advanced-chart/:pairId',AppRouteNames.sc055AdvancedChart,sc055AdvancedChart,AdvancedChartPage,lib/app/router/route_groups/trade_terminal_routes.dart,15
trade_terminal,real_page,AppRoutePaths.tradeAdvancedTools,tradeAdvancedTools,AppRouteNames.sc062AdvancedTools,sc062AdvancedTools,AdvancedToolsDemoPage,lib/app/router/route_groups/trade_terminal_routes.dart,36
trade_terminal,real_page,AppRoutePaths.tradeExecutionQuality,tradeExecutionQuality,AppRouteNames.sc061ExecutionQuality,sc061ExecutionQuality,ExecutionQualityDemoPage,lib/app/router/route_groups/trade_terminal_routes.dart,30
trade_terminal,real_page,AppRoutePaths.tradeMarginAdvancedAnalytics,tradeMarginAdvancedAnalytics,AppRouteNames.sc092AdvancedAnalytics,sc092AdvancedAnalytics,AdvancedAnalyticsPage,lib/app/router/route_groups/trade_terminal_routes.dart,48
trade_terminal,real_page,AppRoutePaths.tradeMarginAdvancedDemo,tradeMarginAdvancedDemo,AppRouteNames.sc088AdvancedTradingDemo,sc088AdvancedTradingDemo,AdvancedTradingDemoPage,lib/app/router/route_groups/trade_terminal_routes.dart,42
trade_terminal,real_page,AppRoutePaths.tradeRiskManagement,tradeRiskManagement,AppRouteNames.sc060RiskManagement,sc060RiskManagement,RiskManagementDemoPage,lib/app/router/route_groups/trade_terminal_routes.dart,24
