feature,route,page,page_file,screen_level,archetype,body_grade,density_score,density_priority,density_reason,shared_component_count,custom_body_count,relaxed_padding_count,loose_gap_count,relaxed_gap_count,large_gap_count,max_width_count,center_count,section_header_count,vit_card_count,source_files
predictions,'/markets/predictions/event/:eventId',PredictionEventDetailPage,flutter_app/lib/features/predictions/presentation/pages/prediction_event_detail_page.dart,L2_entityDetail,detail,B,19,P2_visual_density_review,body B; custom>27 by 14,27,41,0,0,0,0,0,6,0,9,flutter_app/lib/features/predictions/presentation/pages/prediction_event_detail_page.dart;flutter_app/lib/features/predictions/presentation/pages/prediction_event_detail_page_part_01.dart;flutter_app/lib/features/predictions/presentation/pages/prediction_event_detail_page_part_02.dart;flutter_app/lib/features/predictions/presentation/pages/prediction_event_detail_page_part_03.dart;flutter_app/lib/features/predictions/presentation/pages/prediction_event_detail_page_part_04.dart;flutter_app/lib/features/predictions/presentation/pages/prediction_event_detail_page_part_05.dart;flutter_app/lib/features/predictions/presentation/widgets/prediction_event_detail_activity_holders.dart;flutter_app/lib/features/predictions/presentation/widgets/prediction_event_detail_chart.dart;flutter_app/lib/features/predictions/presentation/widgets/prediction_event_detail_comments.dart;flutter_app/lib/features/predictions/presentation/widgets/prediction_event_detail_detail_tabs.dart;flutter_app/lib/features/predictions/presentation/widgets/prediction_event_detail_header.dart;flutter_app/lib/features/predictions/presentation/widgets/prediction_event_detail_order_book.dart;flutter_app/lib/features/predictions/presentation/widgets/prediction_event_detail_related_arena.dart;flutter_app/lib/features/predictions/presentation/widgets/prediction_event_detail_stats_position.dart;flutter_app/lib/features/predictions/presentation/widgets/prediction_event_detail_trade_controls.dart;flutter_app/lib/features/predictions/presentation/widgets/prediction_event_detail_trade_panel.dart
p2p,'/p2p/chat/:orderId',P2PChatPage,flutter_app/lib/features/p2p/presentation/pages/p2p_chat_page.dart,L3_fullscreenTool,fullscreenTool,Tool,14,P1_fullscreen_tool_visual_qa,body Tool; few dense sections/cards=0,9,7,0,0,0,0,2,1,0,0,flutter_app/lib/features/p2p/presentation/pages/p2p_chat_page.dart;flutter_app/lib/features/p2p/presentation/widgets/p2p_chat_composer_actions.dart;flutter_app/lib/features/p2p/presentation/widgets/p2p_chat_header_banners.dart;flutter_app/lib/features/p2p/presentation/widgets/p2p_chat_messages.dart
predictions,AppRoutePaths.marketsPredictionsSearch,PredictionsSearchPage,flutter_app/lib/features/predictions/presentation/pages/predictions_search_page.dart,L1_utilityHub,detail,B,14,P2_visual_density_review,body B; custom>7 by 2; few dense sections/cards=2,7,9,0,0,0,0,0,3,0,2,flutter_app/lib/features/predictions/presentation/pages/predictions_search_page.dart;flutter_app/lib/features/predictions/presentation/widgets/predictions_search_page_common.dart;flutter_app/lib/features/predictions/presentation/widgets/predictions_search_page_sections.dart
trade,'/trade/advanced-chart/:pairId',AdvancedChartPage,flutter_app/lib/features/trade/presentation/pages/advanced_chart_page.dart,L3_fullscreenTool,fullscreenTool,Tool,13,P1_fullscreen_tool_visual_qa,body Tool,22,10,0,0,0,0,1,0,0,5,flutter_app/lib/features/trade/presentation/pages/advanced_chart_page.dart;flutter_app/lib/features/trade/presentation/widgets/advanced_chart_area_actions.dart;flutter_app/lib/features/trade/presentation/widgets/advanced_chart_header_toolbar.dart;flutter_app/lib/features/trade/presentation/widgets/advanced_chart_painter.dart
trade,'/trade/:pairId/futures',FuturesPage,flutter_app/lib/features/trade/presentation/pages/futures_page.dart,L3_fullscreenTool,fullscreenTool,Tool,13,P1_fullscreen_tool_visual_qa,body Tool,42,21,0,0,0,0,0,0,0,6,flutter_app/lib/features/trade/presentation/pages/futures_page.dart;flutter_app/lib/features/trade/presentation/pages/futures_page_part_01.dart;flutter_app/lib/features/trade/presentation/pages/futures_page_part_02.dart;flutter_app/lib/features/trade/presentation/pages/futures_page_part_03.dart
trade,AppRoutePaths.tradeBots,TradingBotsPage,flutter_app/lib/features/trade/presentation/pages/trading_bots_page.dart,L3_fullscreenTool,fullscreenTool,Tool,13,P1_fullscreen_tool_visual_qa,body Tool,54,26,0,0,0,0,0,0,0,14,flutter_app/lib/features/trade/presentation/pages/trading_bots_page.dart;flutter_app/lib/features/trade/presentation/pages/trading_bots_page_part_01.dart;flutter_app/lib/features/trade/presentation/pages/trading_bots_page_part_02.dart;flutter_app/lib/features/trade/presentation/pages/trading_bots_page_part_03.dart;flutter_app/lib/features/trade/presentation/pages/trading_bots_page_part_04.dart
enterprise_states,AppRoutePaths.enterpriseStates,EnterpriseStatesPage,flutter_app/lib/features/enterprise_states/presentation/pages/enterprise_states_page.dart,L3_fullscreenTool,fullscreenTool,Tool,12,P1_fullscreen_tool_visual_qa,body Tool,46,22,0,0,0,0,0,0,0,4,flutter_app/lib/features/enterprise_states/presentation/pages/enterprise_states_page.dart;flutter_app/lib/features/enterprise_states/presentation/widgets/enterprise_states_hero_tabs.dart;flutter_app/lib/features/enterprise_states/presentation/widgets/enterprise_states_preview_kit.dart;flutter_app/lib/features/enterprise_states/presentation/widgets/enterprise_states_references.dart
profile,AppRoutePaths.profileApi,ApiManagementPage,flutter_app/lib/features/profile/presentation/pages/api_management_page.dart,L2_utilityDetail,detail,B,12,P2_visual_density_review,body B; few dense sections/cards=2,12,9,0,0,0,0,0,0,0,2,flutter_app/lib/features/profile/presentation/pages/api_management_page.dart;flutter_app/lib/features/profile/presentation/widgets/api_management_docs.dart;flutter_app/lib/features/profile/presentation/widgets/api_management_key_controls.dart;flutter_app/lib/features/profile/presentation/widgets/api_management_keys.dart
profile,AppRoutePaths.profileEdit,EditProfilePage,flutter_app/lib/features/profile/presentation/pages/edit_profile_page.dart,L3_transactionFlow,detail,B,12,P2_visual_density_review,body B; few dense sections/cards=2,10,7,0,0,0,0,0,0,0,2,flutter_app/lib/features/profile/presentation/pages/edit_profile_page.dart
p2p,AppRoutePaths.p2pWallet,P2PWalletPage,flutter_app/lib/features/p2p/presentation/pages/p2p_wallet_page.dart,L2_detail,detail,A,8,P3_followup_review,few dense sections/cards=2,13,11,0,0,0,0,1,3,0,2,flutter_app/lib/features/p2p/presentation/pages/p2p_wallet_page.dart;flutter_app/lib/features/p2p/presentation/widgets/p2p_wallet_actions_history.dart;flutter_app/lib/features/p2p/presentation/widgets/p2p_wallet_balances.dart;flutter_app/lib/features/p2p/presentation/widgets/p2p_wallet_hero.dart
profile,AppRoutePaths.profileDevices,DeviceManagementPage,flutter_app/lib/features/profile/presentation/pages/device_management_page.dart,L2_utilityDetail,detail,B,8,P3_followup_review,body B,14,9,0,0,0,0,0,0,1,2,flutter_app/lib/features/profile/presentation/pages/device_management_page.dart;flutter_app/lib/features/profile/presentation/widgets/device_management_page_common.dart;flutter_app/lib/features/profile/presentation/widgets/device_management_page_sections.dart
trade,AppRoutePaths.tradeConvert,ConvertPage,flutter_app/lib/features/trade/presentation/pages/convert_page.dart,L2_detail,detail,B,8,P3_followup_review,body B,44,6,0,0,0,0,0,2,0,14,flutter_app/lib/features/trade/presentation/pages/convert_page.dart;flutter_app/lib/features/trade/presentation/pages/convert_page_part_01.dart;flutter_app/lib/features/trade/presentation/pages/convert_page_part_02.dart;flutter_app/lib/features/trade/presentation/widgets/convert_page_amount_widgets.dart;flutter_app/lib/features/trade/presentation/widgets/convert_page_header_widgets.dart
launchpad,AppRoutePaths.launchpadGasTracker,LaunchpadGasTrackerPage,flutter_app/lib/features/launchpad/presentation/pages/launchpad_gas_tracker_page.dart,L2_detail,detail,A,7,Pass_or_low_signal,custom>19 by 6,19,25,0,0,0,0,1,3,0,8,flutter_app/lib/features/launchpad/presentation/pages/launchpad_gas_tracker_page.dart;flutter_app/lib/features/launchpad/presentation/pages/launchpad_gas_tracker_page_part_01.dart;flutter_app/lib/features/launchpad/presentation/pages/launchpad_gas_tracker_page_part_02.dart;flutter_app/lib/features/launchpad/presentation/pages/launchpad_gas_tracker_page_part_03.dart
p2p,'/p2p/ad-analytics/:adId',P2PAdAnalyticsPage,flutter_app/lib/features/p2p/presentation/pages/p2p_ad_analytics_page.dart,L2_entityDetail,detail,A,7,Pass_or_low_signal,custom>20 by 6,20,26,0,0,0,0,1,0,0,12,flutter_app/lib/features/p2p/presentation/pages/p2p_ad_analytics_page.dart;flutter_app/lib/features/p2p/presentation/pages/p2p_ad_analytics_page_part_01.dart;flutter_app/lib/features/p2p/presentation/pages/p2p_ad_analytics_page_part_02.dart;flutter_app/lib/features/p2p/presentation/pages/p2p_ad_analytics_page_part_03.dart
trade,AppRoutePaths.tradeCopyProviderApply,ProviderApplicationPage,flutter_app/lib/features/trade/presentation/pages/provider_application_page.dart,L2_detail,detail,A,7,Pass_or_low_signal,custom>17 by 7,17,24,0,0,0,0,0,0,1,5,flutter_app/lib/features/trade/presentation/pages/provider_application_page.dart;flutter_app/lib/features/trade/presentation/widgets/provider_application_common.dart;flutter_app/lib/features/trade/presentation/widgets/provider_application_progress_intro.dart;flutter_app/lib/features/trade/presentation/widgets/provider_application_steps.dart
cross_module,AppRoutePaths.taxReports,TaxReportCenter,flutter_app/lib/features/cross_module/presentation/pages/tax_report_center.dart,L1_utilityHub,detail,A,6,Pass_or_low_signal,custom>22 by 6,22,28,0,0,0,0,0,1,0,8,flutter_app/lib/features/cross_module/presentation/pages/tax_report_center.dart;flutter_app/lib/features/cross_module/presentation/pages/tax_report_center_part_01.dart;flutter_app/lib/features/cross_module/presentation/pages/tax_report_center_part_02.dart;flutter_app/lib/features/cross_module/presentation/pages/tax_report_center_part_03.dart
dev,AppRoutePaths.devDesignSystem,DesignSystemPage,flutter_app/lib/features/dev/presentation/pages/design_system_page.dart,L2_detail,detail,A,6,Pass_or_low_signal,looseGap=1,10,0,0,1,0,0,0,0,0,3,flutter_app/lib/features/dev/presentation/pages/design_system_page.dart
news,AppRoutePaths.news,NewsPage,flutter_app/lib/features/news/presentation/pages/news_page.dart,L1_utilityHub,detail,A,6,Pass_or_low_signal,few dense sections/cards=2,14,10,0,0,0,0,1,2,0,2,flutter_app/lib/features/news/presentation/pages/news_page.dart;flutter_app/lib/features/news/presentation/widgets/news_page_common.dart;flutter_app/lib/features/news/presentation/widgets/news_page_sections.dart
p2p,'/p2p/dispute/resolution/:disputeId',P2PDisputeResolutionPage,flutter_app/lib/features/p2p/presentation/pages/p2p_dispute_resolution_page.dart,L2_entityDetail,detail,A,6,Pass_or_low_signal,custom>11 by 2; few dense sections/cards=2,11,13,0,0,0,0,0,0,0,2,flutter_app/lib/features/p2p/presentation/pages/p2p_dispute_resolution_page.dart
p2p,AppRoutePaths.p2pLimitsTracker,P2PLimitTrackerPage,flutter_app/lib/features/p2p/presentation/pages/p2p_limit_tracker_page.dart,L2_utilityDetail,detail,A,6,Pass_or_low_signal,custom>9 by 1; few dense sections/cards=2,9,10,0,0,0,0,0,1,0,2,flutter_app/lib/features/p2p/presentation/pages/p2p_limit_tracker_page.dart
p2p,'/p2p/tax-report/detailed/:year',P2PTaxReportingPage,flutter_app/lib/features/p2p/presentation/pages/p2p_tax_reporting_page.dart,L2_entityDetail,detail,A,6,Pass_or_low_signal,custom>14 by 4,14,18,0,0,0,0,0,2,0,3,flutter_app/lib/features/p2p/presentation/pages/p2p_tax_reporting_page.dart;flutter_app/lib/features/p2p/presentation/widgets/p2p_tax_reporting_page_common.dart;flutter_app/lib/features/p2p/presentation/widgets/p2p_tax_reporting_page_sections.dart
p2p,AppRoutePaths.p2pTaxReporting,P2PTaxReportingPage,flutter_app/lib/features/p2p/presentation/pages/p2p_tax_reporting_page.dart,L2_utilityDetail,detail,A,6,Pass_or_low_signal,custom>14 by 4,14,18,0,0,0,0,0,2,0,3,flutter_app/lib/features/p2p/presentation/pages/p2p_tax_reporting_page.dart;flutter_app/lib/features/p2p/presentation/widgets/p2p_tax_reporting_page_common.dart;flutter_app/lib/features/p2p/presentation/widgets/p2p_tax_reporting_page_sections.dart
trade,AppRoutePaths.demoCopyCard,CopyTradingCardDemo,flutter_app/lib/features/trade/presentation/pages/copy_trading_card_demo.dart,L2_detail,detail,A,6,Pass_or_low_signal,looseGap=1,24,11,0,1,0,0,0,1,0,6,flutter_app/lib/features/trade/presentation/pages/copy_trading_card_demo.dart;flutter_app/lib/features/trade/presentation/widgets/copy_trading_card_demo_common.dart;flutter_app/lib/features/trade/presentation/widgets/copy_trading_card_demo_sections.dart
dca,AppRoutePaths.devDcaOverview,DCAOverviewDemo,flutter_app/lib/features/dca/presentation/pages/dca_overview_demo.dart,L2_sectionHub,detail,A,5,Pass_or_low_signal,few dense sections/cards=2,26,16,0,0,0,0,1,0,0,2,flutter_app/lib/features/dca/presentation/pages/dca_overview_demo.dart;flutter_app/lib/features/dca/presentation/widgets/dca_overview_demo_actions.dart;flutter_app/lib/features/dca/presentation/widgets/dca_overview_demo_metrics.dart;flutter_app/lib/features/dca/presentation/widgets/dca_overview_demo_shell.dart
launchpad,AppRoutePaths.launchpadAddressBook,LaunchpadAddressBookPage,flutter_app/lib/features/launchpad/presentation/pages/launchpad_address_book_page.dart,L3_transactionFlow,detail,A,5,Pass_or_low_signal,few dense sections/cards=2,20,11,0,0,0,0,1,2,0,2,flutter_app/lib/features/launchpad/presentation/pages/launchpad_address_book_page.dart;flutter_app/lib/features/launchpad/presentation/widgets/launchpad_address_book_cards.dart;flutter_app/lib/features/launchpad/presentation/widgets/launchpad_address_book_controls.dart;flutter_app/lib/features/launchpad/presentation/widgets/launchpad_address_book_sheet_common.dart
launchpad,AppRoutePaths.launchpadBridgeCompare,LaunchpadBridgeComparePage,flutter_app/lib/features/launchpad/presentation/pages/launchpad_bridge_compare_page.dart,L2_detail,detail,A,5,Pass_or_low_signal,custom>20 by 4,20,24,0,0,0,0,0,2,0,4,flutter_app/lib/features/launchpad/presentation/pages/launchpad_bridge_compare_page.dart;flutter_app/lib/features/launchpad/presentation/pages/launchpad_bridge_compare_page_part_01.dart;flutter_app/lib/features/launchpad/presentation/pages/launchpad_bridge_compare_page_part_02.dart;flutter_app/lib/features/launchpad/presentation/pages/launchpad_bridge_compare_page_part_03.dart
launchpad,AppRoutePaths.launchpadLimitOrders,LaunchpadLimitOrdersPage,flutter_app/lib/features/launchpad/presentation/pages/launchpad_limit_orders_page.dart,L2_detail,detail,A,5,Pass_or_low_signal,custom>22 by 5,22,27,0,0,0,0,0,2,0,6,flutter_app/lib/features/launchpad/presentation/pages/launchpad_limit_orders_page.dart;flutter_app/lib/features/launchpad/presentation/widgets/launchpad_limit_orders_active_widgets.dart;flutter_app/lib/features/launchpad/presentation/widgets/launchpad_limit_orders_create_fields.dart;flutter_app/lib/features/launchpad/presentation/widgets/launchpad_limit_orders_create_widgets.dart;flutter_app/lib/features/launchpad/presentation/widgets/launchpad_limit_orders_formatters.dart;flutter_app/lib/features/launchpad/presentation/widgets/launchpad_limit_orders_header_widgets.dart;flutter_app/lib/features/launchpad/presentation/widgets/launchpad_limit_orders_history_widgets.dart;flutter_app/lib/features/launchpad/presentation/widgets/launchpad_limit_orders_preview_widgets.dart
markets,AppRoutePaths.marketsAdvancedCharts,AdvancedChartsPage,flutter_app/lib/features/markets/presentation/pages/advanced_charts_page.dart,L2_detail,detail,A,5,Pass_or_low_signal,custom>10 by 5,10,15,0,0,0,0,0,3,1,6,flutter_app/lib/features/markets/presentation/pages/advanced_charts_page.dart;flutter_app/lib/features/markets/presentation/pages/advanced_charts_page_part_01.dart;flutter_app/lib/features/markets/presentation/pages/advanced_charts_page_part_02.dart;flutter_app/lib/features/markets/presentation/pages/advanced_charts_page_part_03.dart
p2p,AppRoutePaths.p2pSecurityLoginHistory,P2PLoginHistoryPage,flutter_app/lib/features/p2p/presentation/pages/p2p_login_history_page.dart,L2_utilityDetail,detail,A,5,Pass_or_low_signal,few dense sections/cards=2,18,17,0,0,0,0,1,0,0,2,flutter_app/lib/features/p2p/presentation/pages/p2p_login_history_page.dart;flutter_app/lib/features/p2p/presentation/widgets/p2p_login_history_common.dart;flutter_app/lib/features/p2p/presentation/widgets/p2p_login_history_events.dart;flutter_app/lib/features/p2p/presentation/widgets/p2p_login_history_summary_filters.dart
predictions,AppRoutePaths.marketsPredictionsDataIntegration,PredictionDataIntegrationPage,flutter_app/lib/features/predictions/presentation/pages/prediction_data_integration_page.dart,L2_detail,detail,A,5,Pass_or_low_signal,custom>14 by 4,14,18,0,0,0,0,0,1,0,5,flutter_app/lib/features/predictions/presentation/pages/prediction_data_integration_page.dart;flutter_app/lib/features/predictions/presentation/widgets/prediction_data_integration_common.dart;flutter_app/lib/features/predictions/presentation/widgets/prediction_data_integration_keys_webhooks.dart;flutter_app/lib/features/predictions/presentation/widgets/prediction_data_integration_sources.dart
profile,AppRoutePaths.profile,ProfilePage,flutter_app/lib/features/profile/presentation/pages/profile_page.dart,L1_primaryTabRoot,rootModule,A,5,Pass_or_low_signal,no static density signal,17,15,0,0,0,0,0,1,1,8,flutter_app/lib/features/profile/presentation/pages/profile_page.dart;flutter_app/lib/features/profile/presentation/widgets/profile_home_arena_stats.dart;flutter_app/lib/features/profile/presentation/widgets/profile_home_hero.dart;flutter_app/lib/features/profile/presentation/widgets/profile_home_menu_actions.dart;flutter_app/lib/features/profile/presentation/widgets/profile_home_vip_prediction.dart
wallet,AppRoutePaths.walletTransfer,TransferPage,flutter_app/lib/features/wallet/presentation/pages/transfer_page.dart,L3_transactionFlow,detail,A,5,Pass_or_low_signal,custom>9 by 1; few dense sections/cards=1,9,10,0,0,0,0,0,0,0,1,flutter_app/lib/features/wallet/presentation/pages/transfer_page.dart
admin,AppRoutePaths.adminFunnels,FunnelDashboard,flutter_app/lib/features/admin/presentation/pages/funnel_dashboard.dart,L2_sectionHub,detail,A,4,Pass_or_low_signal,custom>13 by 4,13,17,0,0,0,0,2,1,0,5,flutter_app/lib/features/admin/presentation/pages/funnel_dashboard.dart;flutter_app/lib/features/admin/presentation/widgets/funnel_dashboard_common_painter.dart;flutter_app/lib/features/admin/presentation/widgets/funnel_dashboard_selector_metrics.dart;flutter_app/lib/features/admin/presentation/widgets/funnel_dashboard_waterfall_details.dart
arena,'/arena/trust/:userId',ArenaTrustBreakdownPage,flutter_app/lib/features/arena/presentation/pages/arena_trust_breakdown_page.dart,L2_entityDetail,detail,A,4,Pass_or_low_signal,few dense sections/cards=1,13,7,0,0,0,0,0,3,0,1,flutter_app/lib/features/arena/presentation/pages/arena_trust_breakdown_page.dart
cross_module,AppRoutePaths.smartAlerts,SmartAlertCenter,flutter_app/lib/features/cross_module/presentation/pages/smart_alert_center.dart,L1_utilityHub,detail,A,4,Pass_or_low_signal,custom>18 by 4,18,22,0,0,0,0,0,1,0,6,flutter_app/lib/features/cross_module/presentation/pages/smart_alert_center.dart;flutter_app/lib/features/cross_module/presentation/widgets/smart_alert_center_cards.dart;flutter_app/lib/features/cross_module/presentation/widgets/smart_alert_center_common.dart;flutter_app/lib/features/cross_module/presentation/widgets/smart_alert_center_history_settings.dart;flutter_app/lib/features/cross_module/presentation/widgets/smart_alert_center_tabs.dart
dca,AppRoutePaths.dcaPerformanceCompare,DCAPerformanceComparePage,flutter_app/lib/features/dca/presentation/pages/dca_performance_compare_page.dart,L2_detail,detail,A,4,Pass_or_low_signal,custom>18 by 4,18,22,0,0,0,0,1,0,0,9,flutter_app/lib/features/dca/presentation/pages/dca_performance_compare_page.dart;flutter_app/lib/features/dca/presentation/widgets/dca_performance_compare_analysis.dart;flutter_app/lib/features/dca/presentation/widgets/dca_performance_compare_charts.dart;flutter_app/lib/features/dca/presentation/widgets/dca_performance_compare_painters.dart;flutter_app/lib/features/dca/presentation/widgets/dca_performance_compare_primitives.dart;flutter_app/lib/features/dca/presentation/widgets/dca_performance_compare_tabs.dart
earn,AppRoutePaths.earnSavingsGuide,SavingsGuidePage,flutter_app/lib/features/earn/presentation/pages/savings_guide_page.dart,L2_utilityDetail,detail,A,4,Pass_or_low_signal,few dense sections/cards=2,15,4,0,0,0,0,0,0,0,2,flutter_app/lib/features/earn/presentation/pages/savings_guide_page.dart
earn,AppRoutePaths.earnSavingsHistory,SavingsHistoryPage,flutter_app/lib/features/earn/presentation/pages/savings_history_page.dart,L2_utilityDetail,detail,A,4,Pass_or_low_signal,few dense sections/cards=2,9,2,0,0,0,0,0,0,0,2,flutter_app/lib/features/earn/presentation/pages/savings_history_page.dart;flutter_app/lib/features/earn/presentation/widgets/savings_history_page_common.dart;flutter_app/lib/features/earn/presentation/widgets/savings_history_page_sections.dart
earn,AppRoutePaths.earnSavingsNotificationPreferences,SavingsNotificationPreferencesPage,flutter_app/lib/features/earn/presentation/pages/savings_notification_preferences_page.dart,L2_detail,detail,A,4,Pass_or_low_signal,few dense sections/cards=1,7,0,0,0,0,0,0,0,0,1,flutter_app/lib/features/earn/presentation/pages/savings_notification_preferences_page.dart
earn,AppRoutePaths.earnSavingsProductSample,SavingsProductDetailPage,flutter_app/lib/features/earn/presentation/pages/savings_product_detail_page.dart,L2_entityDetail,detail,A,4,Pass_or_low_signal,few dense sections/cards=1,8,3,0,0,0,0,0,0,0,1,flutter_app/lib/features/earn/presentation/pages/savings_product_detail_page.dart
earn,AppRoutePaths.earnSavingsReceipt,SavingsReceiptPage,flutter_app/lib/features/earn/presentation/pages/savings_receipt_page.dart,L3_transactionFlow,detail,A,4,Pass_or_low_signal,few dense sections/cards=1,9,2,0,0,0,0,0,0,0,1,flutter_app/lib/features/earn/presentation/pages/savings_receipt_page.dart
earn,AppRoutePaths.earnSavingsRedeemPos001,SavingsRedeemPage,flutter_app/lib/features/earn/presentation/pages/savings_redeem_page.dart,L3_transactionFlow,detail,A,4,Pass_or_low_signal,few dense sections/cards=1,9,2,0,0,0,0,0,0,0,1,flutter_app/lib/features/earn/presentation/pages/savings_redeem_page.dart
earn,AppRoutePaths.earnSavingsSmartSuggestions,SavingsSmartSuggestionsPage,flutter_app/lib/features/earn/presentation/pages/savings_smart_suggestions_page.dart,L2_detail,detail,A,4,Pass_or_low_signal,few dense sections/cards=1,7,0,0,0,0,0,0,0,0,1,flutter_app/lib/features/earn/presentation/pages/savings_smart_suggestions_page.dart
earn,AppRoutePaths.earnApiDocumentation,StakingApiDocumentationPage,flutter_app/lib/features/earn/presentation/pages/staking_api_documentation_page.dart,L2_detail,detail,A,4,Pass_or_low_signal,few dense sections/cards=1,7,0,0,0,0,0,0,0,0,1,flutter_app/lib/features/earn/presentation/pages/staking_api_documentation_page.dart
earn,AppRoutePaths.earnCustody,StakingCustodyPage,flutter_app/lib/features/earn/presentation/pages/staking_custody_page.dart,L2_detail,detail,A,4,Pass_or_low_signal,few dense sections/cards=1,7,0,0,0,0,0,0,0,0,1,flutter_app/lib/features/earn/presentation/pages/staking_custody_page.dart
earn,AppRoutePaths.earnDashboard,StakingDashboardPage,flutter_app/lib/features/earn/presentation/pages/staking_dashboard_page.dart,L2_sectionHub,detail,A,4,Pass_or_low_signal,few dense sections/cards=1,9,0,0,0,0,0,0,0,0,1,flutter_app/lib/features/earn/presentation/pages/staking_dashboard_page.dart
earn,AppRoutePaths.earnInsuranceFundTransparency,StakingInsuranceFundTransparencyPage,flutter_app/lib/features/earn/presentation/pages/staking_insurance_fund_transparency_page.dart,L2_detail,detail,A,4,Pass_or_low_signal,few dense sections/cards=1,7,0,0,0,0,0,0,0,0,1,flutter_app/lib/features/earn/presentation/pages/staking_insurance_fund_transparency_page.dart
earn,AppRoutePaths.earnProposals,StakingProposalsPage,flutter_app/lib/features/earn/presentation/pages/staking_proposals_page.dart,L2_detail,detail,A,4,Pass_or_low_signal,few dense sections/cards=2,13,4,0,0,0,0,0,0,0,2,flutter_app/lib/features/earn/presentation/pages/staking_proposals_page.dart
earn,AppRoutePaths.earnRecommendations,StakingRecommendationsPage,flutter_app/lib/features/earn/presentation/pages/staking_recommendations_page.dart,L2_detail,detail,A,4,Pass_or_low_signal,few dense sections/cards=1,9,2,0,0,0,0,0,0,0,1,flutter_app/lib/features/earn/presentation/pages/staking_recommendations_page.dart
earn,AppRoutePaths.earnSlashingHistory,StakingSlashingHistoryPage,flutter_app/lib/features/earn/presentation/pages/staking_slashing_history_page.dart,L2_utilityDetail,detail,A,4,Pass_or_low_signal,few dense sections/cards=1,7,0,0,0,0,0,0,0,0,1,flutter_app/lib/features/earn/presentation/pages/staking_slashing_history_page.dart
earn,AppRoutePaths.earnStakingTaxGuide,StakingTaxGuidePage,flutter_app/lib/features/earn/presentation/pages/staking_tax_guide_page.dart,L2_utilityDetail,detail,A,4,Pass_or_low_signal,few dense sections/cards=1,7,0,0,0,0,0,0,0,0,1,flutter_app/lib/features/earn/presentation/pages/staking_tax_guide_page.dart
earn,AppRoutePaths.earnValidatorSelection,StakingValidatorSelectionPage,flutter_app/lib/features/earn/presentation/pages/staking_validator_selection_page.dart,L2_detail,detail,A,4,Pass_or_low_signal,few dense sections/cards=1,7,0,0,0,0,0,0,0,0,1,flutter_app/lib/features/earn/presentation/pages/staking_validator_selection_page.dart
launchpad,AppRoutePaths.launchpadContractSample,LaunchpadContractPage,flutter_app/lib/features/launchpad/presentation/pages/launchpad_contract_page.dart,L2_detail,detail,A,4,Pass_or_low_signal,few dense sections/cards=2,10,2,0,0,0,0,0,1,0,2,flutter_app/lib/features/launchpad/presentation/pages/launchpad_contract_page.dart
launchpad,AppRoutePaths.launchpadIdoBridgeSample,LaunchpadIdoBridgePage,flutter_app/lib/features/launchpad/presentation/pages/launchpad_ido_bridge_page.dart,L2_detail,detail,A,4,Pass_or_low_signal,few dense sections/cards=2,8,1,0,0,0,0,0,1,0,2,flutter_app/lib/features/launchpad/presentation/pages/launchpad_ido_bridge_page.dart
notifications,AppRoutePaths.notifications,NotificationsPage,flutter_app/lib/features/notifications/presentation/pages/notifications_page.dart,L1_utilityHub,detail,A,4,Pass_or_low_signal,few dense sections/cards=2,12,2,0,0,0,0,0,0,0,2,flutter_app/lib/features/notifications/presentation/pages/notifications_page.dart;flutter_app/lib/features/notifications/presentation/widgets/notifications_page_common.dart;flutter_app/lib/features/notifications/presentation/widgets/notifications_page_sections.dart
p2p,AppRoutePaths.p2pComplianceAmlScreening,P2PAmlScreeningPage,flutter_app/lib/features/p2p/presentation/pages/p2p_aml_screening_page.dart,L2_detail,detail,A,4,Pass_or_low_signal,few dense sections/cards=2,15,4,0,0,0,0,0,0,0,2,flutter_app/lib/features/p2p/presentation/pages/p2p_aml_screening_page.dart
p2p,AppRoutePaths.p2pComplianceOverview,P2PComplianceOverviewPage,flutter_app/lib/features/p2p/presentation/pages/p2p_compliance_overview_page.dart,L2_sectionHub,detail,A,4,Pass_or_low_signal,few dense sections/cards=2,9,2,0,0,0,0,0,0,0,2,flutter_app/lib/features/p2p/presentation/pages/p2p_compliance_overview_page.dart
p2p,AppRoutePaths.p2pExpressConfirm,P2PExpressConfirmPage,flutter_app/lib/features/p2p/presentation/pages/p2p_express_confirm_page.dart,L3_transactionFlow,detail,A,4,Pass_or_low_signal,few dense sections/cards=2,16,7,0,0,0,0,0,1,0,2,flutter_app/lib/features/p2p/presentation/pages/p2p_express_confirm_page.dart
p2p,AppRoutePaths.p2pSettingsNotifications,P2PNotificationsSettingsPage,flutter_app/lib/features/p2p/presentation/pages/p2p_notifications_settings_page.dart,L1_utilityHub,detail,A,4,Pass_or_low_signal,few dense sections/cards=2,8,4,0,0,0,0,0,0,0,2,flutter_app/lib/features/p2p/presentation/pages/p2p_notifications_settings_page.dart
