module,file,call_site_family,variant,count,height_tier_px,width_mode,local_duplicate_classes,compliance,notes
trade,trade/presentation/widgets/cass_reconciliation_summary_tabs.dart,VitSegmentedTabBar,segment_alias,1,~28,equal_expanded,-,pass,alias of VitTabBar.segment
trade,trade/presentation/widgets/client_money_protection_page_sections.dart,VitSegmentedTabBar,segment_alias,1,~28,equal_expanded,-,pass,alias of VitTabBar.segment
trade,trade/presentation/widgets/complaints_handling_overview_header_tabs.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
trade,trade/presentation/widgets/convert_page_amount_widgets.dart,VitChoicePill,chip,1,44,hug,-,pass,
trade,trade/presentation/widgets/convert_page_amount_widgets.dart,VitPresetChipRow,preset_row,1,34,equal_full,-,pass,
trade,trade/presentation/widgets/copy_configuration_provider_capital_mode.dart,VitPresetChipRow,preset_row,1,34,equal_full,-,pass,
trade,trade/presentation/widgets/copy_education_page_sections.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
trade,trade/presentation/widgets/copy_performance_summary_tabs.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
trade,trade/presentation/widgets/copy_safety_overview.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
trade,trade/presentation/widgets/copy_settings_controls.dart,VitChoicePill,chip,1,44,full_or_hug,-,pass,
trade,trade/presentation/widgets/copy_settings_modes.dart,VitChoicePill,chip,1,44,full_or_hug,-,pass,
trade,trade/presentation/widgets/copy_trading_list.dart,VitPresetChipRow,preset_row,1,34,equal_full,-,pass,
trade,trade/presentation/widgets/copy_trading_list.dart,VitTabBar,pill_wrap,1,~28,wrap_hug,-,review,
trade,trade/presentation/widgets/ex_ante_costs_overview.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
trade,trade/presentation/widgets/ex_ante_costs_scenarios_actions.dart,VitChoicePill,chip,1,44,full_or_hug,-,pass,
trade,trade/presentation/widgets/ex_post_costs_report_summary.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
trade,trade/presentation/widgets/execution_quality_tabs.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
trade,trade/presentation/widgets/execution_venue_summary.dart,VitChoicePill,chip,1,44,full_or_hug,-,pass,
trade,trade/presentation/widgets/execution_venue_summary.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
trade,trade/presentation/widgets/investor_compensation_page_sections.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
trade,trade/presentation/widgets/leverage_controls_presets.dart,VitChoicePill,chip,1,44,full_or_hug,-,pass,
trade,trade/presentation/widgets/leverage_controls_presets.dart,VitPresetChipRow,preset_row,1,34,equal_full,-,pass,
trade,trade/presentation/widgets/live_market_tabs.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
trade,trade/presentation/widgets/orders_history_page_sections.dart,VitSegmentedChoice,primaryAccent,4,44,equal_expanded,-,pass,
trade,trade/presentation/widgets/orders_history_page_sections.dart,VitSegmentedTabBar,segment_alias,1,~28,equal_expanded,-,pass,alias of VitTabBar.segment
trade,trade/presentation/widgets/performance_attribution_summary_tabs.dart,VitSegmentedTabBar,segment_alias,1,~28,equal_expanded,-,pass,alias of VitTabBar.segment
trade,trade/presentation/widgets/performance_scenarios_intro_widgets.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
trade,trade/presentation/widgets/portfolio_risk_analysis_page_sections.dart,VitSegmentedTabBar,segment_alias,1,~28,equal_expanded,-,pass,alias of VitTabBar.segment
trade,trade/presentation/widgets/position_dashboard_page_sections.dart,VitSegmentedTabBar,segment_alias,1,~28,equal_expanded,-,pass,alias of VitTabBar.segment
trade,trade/presentation/widgets/product_governance_overview_tabs.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
trade,trade/presentation/widgets/provider_governance_page_overview.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
trade,trade/presentation/widgets/provider_leaderboard_controls.dart,VitSegmentedTabBar,segment_alias,1,~28,equal_expanded,-,pass,alias of VitTabBar.segment
trade,trade/presentation/widgets/regulatory_disclosures_hero_tabs.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
trade,trade/presentation/widgets/risk_management_tabs.dart,VitSegmentedTabBar,segment_alias,1,~28,equal_expanded,-,pass,alias of VitTabBar.segment
trade,trade/presentation/widgets/safety_education_page_sections.dart,VitSegmentedTabBar,segment_alias,1,~28,equal_expanded,-,pass,alias of VitTabBar.segment
trade,trade/presentation/widgets/slippage_monitoring_overview.dart,VitSegmentedTabBar,segment_alias,1,~28,equal_expanded,-,pass,alias of VitTabBar.segment
trade,trade/presentation/widgets/trade_history_export_selectors_includes.dart,VitChoicePill,chip,1,44,hug,-,pass,
trade,trade/presentation/widgets/trade_settings_page_sections.dart,VitChoicePill,chip,1,44,full_or_hug,-,pass,
trade,trade/presentation/widgets/trader_profile_overview.dart,VitSegmentedTabBar,segment_alias,1,~28,equal_expanded,-,pass,alias of VitTabBar.segment
trade,trade/presentation/widgets/transaction_reporting_filters.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
trade,trade/presentation/widgets/vit_trade_side_switch.dart,VitSegmentedChoice,primaryAccent,6,44,equal_expanded,-,pass,
trade,trade/presentation/widgets/vit_trade_simple_order_form.dart,VitPresetChipRow,preset_row,1,34,equal_full,-,pass,
wallet,wallet/presentation/pages/network_status_page.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
wallet,wallet/presentation/pages/transaction_history_page.dart,VitTabBar,pill_wrap,1,~28,wrap_hug,-,review,
wallet,wallet/presentation/widgets/asset_detail_page_sections.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
wallet,wallet/presentation/widgets/deposit_page_common.dart,VitChoicePill,chip,1,44,full_or_hug,-,pass,
wallet,wallet/presentation/widgets/portfolio_analytics_overview_chart.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
wallet,wallet/presentation/widgets/portfolio_analytics_summary_switcher.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
wallet,wallet/presentation/widgets/wallet_address_add_selectors.dart,VitChoicePill,chip,2,44,full_or_hug,-,pass,
wallet,wallet/presentation/widgets/wallet_address_book_controls.dart,VitChoicePill,chip,1,44,hug,-,pass,
wallet,wallet/presentation/widgets/wallet_address_book_list.dart,VitChoicePill,chip,1,44,full_or_hug,-,pass,
wallet,wallet/presentation/widgets/wallet_buy_crypto_input_sections.dart,VitChoicePill,chip,1,44,full_or_hug,-,pass,
wallet,wallet/presentation/widgets/wallet_dust_converter_targets.dart,VitSegmentedChoice,primaryAccent,2,44,equal_expanded,-,pass,
wallet,wallet/presentation/widgets/wallet_gas_optimizer_current.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
wallet,wallet/presentation/widgets/wallet_health_score_page_shell.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
wallet,wallet/presentation/widgets/wallet_manager_tabs.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
wallet,wallet/presentation/widgets/wallet_page_asset_sections.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
wallet,wallet/presentation/widgets/wallet_token_approval_tabs.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
wallet,wallet/presentation/widgets/wallet_transfer_asset_amount.dart,VitChoicePill,chip,1,44,hug,-,pass,
